,time_elapsed,simulationTypeNumber,seed,learning_rate,n_pattern,n_pattern_features,max_epochs,energy_exponent,preset_simulation,Learning was complete at epoch #,Theoretical: random-walk efficiency,Simulated: efficiency (m_perc/m_min),Simulated-Theoretical efficiency difference,Theoretical: minimum energy for learning,Simulated: energy actually used by learning,Energy expended by simulations for consolidations,Energy expended by simulations for maintenance,Energy expended by simulations for maintenance (plus before thr),Energy expended total,(seen) NLL,(seen) Accuracy,(seen) Precision,(seen) Sensitivity,(seen) Specificity,(unseen) NLL,(unseen) Accuracy,(unseen) Precision,(unseen) Sensitivity,(unseen) Specificity,weights_initialised_as,cache_algorithm,max_size_of_transient_memory,maintenance_cost_of_transient_memory,Optimal threshold,Decay rate of transient memory,number of consolidations,mean consolidation size
4436,54.12417912483215,493,8,0.1,392,200,1000,1,1,False,343909.399,72677.6,-271231.799,1496.8,74174.4,39960.0,0.0,0.0,39960.0,0.5562627374330055%,90.051%,90.86%,88.482%,91.542%,0.777132713358068%,46.429%,45.128%,46.073%,46.766%,zeros,local-global,optimal,1,0.00303045700891707,0.002,3,-0.007047047047047046
4437,49.22807836532593,493,9,0.1,392,200,1000,1,1,False,343909.399,71579.0,-272330.399,2465.8,74044.8,39960.0,0.0,0.0,39960.0,0.5651414568917634%,92.092%,88.421%,94.915%,89.767%,0.7719309686021144%,46.429%,46.798%,48.223%,44.615%,zeros,local-global,optimal,1,0.00303045700891707,0.002,3,-0.006705705705705706
4438,51.673627853393555,494,1,0.1,393,200,1000,1,1,False,394544.249,71077.8,-323466.449,2098.0,73175.8,39960.0,0.0,0.0,39960.0,0.5386998888294258%,93.13%,93.299%,92.821%,93.434%,0.7628743736507779%,49.364%,48.241%,50.0%,48.756%,zeros,local-global,optimal,1,0.0030265991579467417,0.002,3,0.0004944944944944945
4439,51.28554105758667,494,2,0.1,393,200,1000,1,1,False,394544.249,74414.8,-320129.449,1048.4,75463.2,39960.0,0.0,0.0,39960.0,0.5930021828464943%,85.242%,81.592%,88.649%,82.212%,0.7183948366842815%,55.725%,56.923%,55.224%,56.25%,zeros,local-global,optimal,1,0.0030265991579467417,0.002,3,-0.0046876876876876875
4440,51.75364589691162,494,3,0.1,393,200,1000,1,1,False,394544.249,76516.8,-318027.449,599.0,77115.8,39960.0,0.0,0.0,39960.0,0.5841460555492091%,81.425%,83.756%,80.097%,82.888%,0.7396182502942253%,50.127%,52.97%,51.442%,48.649%,zeros,local-global,optimal,1,0.0030265991579467417,0.002,3,-0.0012622622622622621
4441,51.85066890716553,494,4,0.1,393,200,1000,1,1,False,394544.249,73755.2,-320789.049,1714.6,75469.8,39960.0,0.0,0.0,39960.0,0.5611882829127617%,88.041%,91.477%,83.42%,92.5%,0.7737632106946718%,48.092%,45.596%,47.059%,49.029%,zeros,local-global,optimal,1,0.0030265991579467417,0.002,3,-0.004705705705705707
4442,51.02548146247864,494,5,0.1,393,200,1000,1,1,False,394544.249,72390.8,-322153.449,1550.0,73940.8,39960.0,0.0,0.0,39960.0,0.5618565619459432%,89.567%,87.94%,91.146%,88.06%,0.7868982262805472%,47.074%,44.55%,50.811%,43.75%,zeros,local-global,optimal,1,0.0030265991579467417,0.002,3,-0.0023143143143143138
4447,15.628516674041748,495,1,0.1,394,200,1000,1,1,309,462059.618,19786.2,-442273.418,0.0,19786.2,12280.0,0.0,0.0,12280.0,0.6931471805599452%,51.523%,0%,0.0%,100.0%,0.6931471805599452%,50.761%,0%,0.0%,100.0%,zeros,local-global,optimal,1,0.003022755983301855,0.002,3,-0.0013257328990228013
4443,51.28654170036316,494,6,0.1,393,200,1000,1,1,False,394544.249,74149.6,-320394.649,1405.4,75555.0,39960.0,0.0,0.0,39960.0,0.5544788839174226%,88.55%,88.725%,89.163%,87.895%,0.7577853151266049%,52.672%,49.246%,53.552%,51.905%,zeros,local-global,optimal,1,0.0030265991579467417,0.002,3,0.0002792792792792793
4444,40.56812882423401,494,7,0.1,393,200,1000,1,1,822,394544.249,55158.6,-339385.649,0.0,55158.6,32800.0,0.0,0.0,32800.0,0.6931471805599453%,49.618%,0%,0.0%,100.0%,0.6931471805599453%,48.092%,0%,0.0%,100.0%,zeros,local-global,optimal,1,0.0030265991579467417,0.002,3,-0.000924390243902439
4445,45.10614991188049,494,8,0.1,393,200,1000,1,1,852,394544.249,55092.0,-339452.249,0.0,55092.0,34000.0,0.0,0.0,34000.0,0.6931471805599453%,52.417%,0%,0.0%,100.0%,0.6931471805599453%,51.908%,0%,0.0%,100.0%,zeros,local-global,optimal,1,0.0030265991579467417,0.002,3,0.0030129411764705885
