,time_elapsed,simulationTypeNumber,seed,learning_rate,n_pattern,n_pattern_features,max_epochs,energy_exponent,preset_simulation,Learning was complete at epoch #,Theoretical: random-walk efficiency,Simulated: efficiency (m_perc/m_min),Simulated-Theoretical efficiency difference,Theoretical: minimum energy for learning,Simulated: energy actually used by learning,Energy expended by simulations for consolidations,Energy expended by simulations for maintenance,Energy expended by simulations for maintenance (before thr),Energy expended total,(seen) NLL,(seen) Accuracy,(seen) Precision,(seen) Sensitivity,(seen) Specificity,(unseen) NLL,(unseen) Accuracy,(unseen) Precision,(unseen) Sensitivity,(unseen) Specificity,weights_initialised_as,cache_algorithm,max_size_of_transient_memory,maintenance_cost_of_transient_memory,Optimal threshold,Decay rate of transient memory,number of consolidations,mean consolidation size
2292,0.6484072208404541,115,11,2,250,250,1000,1,1,17,7006.239,42277.458,35271.219,0.0,42277.458,22397.042,32348.828,163.86002580182648,54745.87,0.6931471805599454%,48.4%,0%,0.0%,100.0%,0.6931471805599454%,50.4%,0%,0.0%,100.0%,zeros,local-global,38.31936974789916,1,1.517509374001422,0.002,3,0.6477929284983092
2295,0.5730209350585938,115,14,2,250,250,1000,1,1,15,7006.239,43142.462,36136.223,0.0,43142.462,26198.237,26719.947,149.82063092065334,52918.184,0.6931471805599454%,47.2%,0%,0.0%,100.0%,0.6931471805599454%,52.4%,0%,0.0%,100.0%,zeros,local-global,38.31936974789916,1,1.517509374001422,0.002,3,-0.2600740066284762
2293,0.851855993270874,115,12,2,250,250,1000,1,1,23,7006.239,56409.429,49403.19,0.0,56409.429,31678.788,38309.986,259.76506800380133,69988.774,0.6931471805599454%,50.0%,0%,0.0%,100.0%,0.6931471805599454%,54.0%,0%,0.0%,100.0%,zeros,local-global,38.31936974789916,1,1.517509374001422,0.002,3,-0.014346102062901616
2296,0.6540725231170654,115,15,2,250,250,1000,1,1,17,7006.239,42847.221,35840.982,0.0,42847.221,23432.91,29361.676,135.87219343501343,52794.586,0.6931471805599454%,53.2%,0%,0.0%,100.0%,0.6931471805599454%,51.6%,0%,0.0%,100.0%,zeros,local-global,38.31936974789916,1,1.517509374001422,0.002,3,1.2420122448267972
2298,0.5870254039764404,115,17,2,250,250,1000,1,1,15,7006.239,40809.105,33802.866,0.0,40809.105,23081.842,25038.314,147.81652064657678,48120.156,0.6931471805599454%,58.0%,0%,0.0%,100.0%,0.6931471805599454%,46.4%,0%,0.0%,100.0%,zeros,local-global,38.31936974789916,1,1.517509374001422,0.002,3,-0.05734409376932635
2301,0.4455840587615967,116,0,2,250,250,1000,1,1,12,7006.239,35243.216,28236.977,0.0,35243.216,22918.724,21041.647,151.9040012359619,43960.371,0.6931471805599454%,51.6%,0%,0.0%,100.0%,0.6931471805599454%,52.4%,0%,0.0%,100.0%,zeros,local-global,38.65549579831933,1,1.517509374001422,0.002,3,-0.018396681003881175
2294,0.8903617858886719,115,13,2,250,250,1000,1,1,23,7006.239,47331.33,40325.091,0.0,47331.33,20578.451,36840.558,145.8283777091532,57419.009,0.6931471805599454%,52.0%,0%,0.0%,100.0%,0.6931471805599454%,50.8%,0%,0.0%,100.0%,zeros,local-global,38.31936974789916,1,1.517509374001422,0.002,3,0.16473015014301123
2299,0.7001101970672607,115,18,2,250,250,1000,1,1,18,7006.239,39903.762,32897.523,0.0,39903.762,21343.96,29762.385,109.82074119997431,51106.345,0.6931471805599454%,49.2%,0%,0.0%,100.0%,0.6931471805599454%,49.2%,0%,0.0%,100.0%,zeros,local-global,38.31936974789916,1,1.517509374001422,0.002,3,0.0010496937404179997
2303,0.3834421634674072,116,2,2,250,250,1000,1,1,10,7006.239,31878.273,24872.034,0.0,31878.273,17485.649,18437.778,133.8480979544678,35923.427,0.6931471805599454%,50.0%,0%,0.0%,100.0%,0.6931471805599454%,48.4%,0%,0.0%,100.0%,zeros,local-global,38.65549579831933,1,1.517509374001422,0.002,3,0.11566564334999441
2300,0.6369922161102295,115,19,2,250,250,1000,1,1,16,7006.239,36974.271,29968.032,0.0,36974.271,22765.126,26554.352,145.89200139045715,49319.478,0.6931471805599454%,52.8%,0%,0.0%,100.0%,0.6931471805599454%,50.0%,0%,0.0%,100.0%,zeros,local-global,38.31936974789916,1,1.517509374001422,0.002,3,0.527260525690779
