,time_elapsed,simulationTypeNumber,seed,learning_rate,n_pattern,n_pattern_features,max_epochs,energy_exponent,preset_simulation,Learning was complete at epoch #,Theoretical: random-walk efficiency,Simulated: efficiency (m_perc/m_min),Simulated-Theoretical efficiency difference,Theoretical: minimum energy for learning,Simulated: energy actually used by learning,Energy expended by simulations for consolidations,Energy expended by simulations for maintenance,Energy expended total,(seen) NLL,(seen) Accuracy,(seen) Precision,(seen) Sensitivity,(seen) Specificity,(unseen) NLL,(unseen) Accuracy,(unseen) Precision,(unseen) Sensitivity,(unseen) Specificity,weights_initialised_as,cache_algorithm,max_size_of_transient_memory,maintenance_cost_of_transient_memory,Optimal threshold,Decay rate of transient memory,number of consolidations,mean consolidation size
4558,0.19204306602478027,23,180,0.5,100,100,5000,1,1,12,1772.454,2150.895,378.441,0.0,2150.895,175.782,330.414,506.196,0.6931471805599453%,49.0%,0%,0.0%,100.0%,0.6931471805599453%,54.0%,0%,0.0%,100.0%,zeros,local-global,22.564102564102562,0.1,1.4851485148514851,0.002,3,-0.1287062888438475
4557,0.2340526580810547,23,179,0.5,100,100,5000,1,1,16,1772.454,2530.398,757.944,0.0,2530.398,185.407,472.146,657.553,0.6931471805599453%,51.0%,0%,0.0%,100.0%,0.6931471805599453%,56.0%,0%,0.0%,100.0%,zeros,local-global,22.564102564102562,0.1,1.4851485148514851,0.002,3,-0.5300892742826989
4556,0.2780611515045166,23,178,0.5,100,100,5000,1,1,20,1772.454,3093.686,1321.232,0.0,3093.686,225.881,739.797,965.678,0.6931471805599453%,45.0%,0%,0.0%,100.0%,0.6931471805599453%,60.0%,0%,0.0%,100.0%,zeros,local-global,22.564102564102562,0.1,1.4851485148514851,0.002,3,0.342129849684611
4553,0.36408162117004395,23,175,0.5,100,100,5000,1,1,25,1772.454,4199.933,2427.479,0.0,4199.933,287.319,1080.374,1367.693,0.6931471805599453%,44.0%,0%,0.0%,100.0%,0.6931471805599453%,55.0%,0%,0.0%,100.0%,zeros,local-global,22.564102564102562,0.1,1.4851485148514851,0.002,3,-0.6175184805516406
4559,0.2520575523376465,23,181,0.5,100,100,5000,1,1,17,1772.454,2655.835,883.381,0.0,2655.835,197.442,537.984,735.426,0.6931471805599453%,50.0%,0%,0.0%,100.0%,0.6931471805599453%,51.0%,0%,0.0%,100.0%,zeros,local-global,22.564102564102562,0.1,1.4851485148514851,0.002,3,-0.5285106634267748
4560,0.2690613269805908,23,182,0.5,100,100,5000,1,1,20,1772.454,3188.791,1416.337,0.0,3188.791,237.088,720.082,957.17,0.6931471805599453%,54.0%,0%,0.0%,100.0%,0.6931471805599453%,53.0%,0%,0.0%,100.0%,zeros,local-global,22.564102564102562,0.1,1.4851485148514851,0.002,3,-0.6220591037680614
4562,0.24205493927001953,23,184,0.5,100,100,5000,1,1,17,1772.454,2875.679,1103.225,0.0,2875.679,214.034,571.295,785.329,0.6931471805599453%,45.0%,0%,0.0%,100.0%,0.6931471805599453%,43.0%,0%,0.0%,100.0%,zeros,local-global,22.564102564102562,0.1,1.4851485148514851,0.002,3,0.030048495046533962
4561,0.3010680675506592,23,183,0.5,100,100,5000,1,1,21,1772.454,3277.741,1505.287,0.0,3277.741,231.507,781.426,1012.933,0.6931471805599453%,50.0%,0%,0.0%,100.0%,0.6931471805599453%,57.0%,0%,0.0%,100.0%,zeros,local-global,22.564102564102562,0.1,1.4851485148514851,0.002,3,-0.08373616303466296
4565,0.16003704071044922,23,187,0.5,100,100,5000,1,1,10,1772.454,1708.963,-63.491,0.0,1708.963,150.645,245.35,395.995,0.6931471805599453%,40.0%,0%,0.0%,100.0%,0.6931471805599453%,52.0%,0%,0.0%,100.0%,zeros,local-global,22.564102564102562,0.1,1.4851485148514851,0.002,3,-0.7027146768043291
4567,0.17003870010375977,23,189,0.5,100,100,5000,1,1,12,1772.454,2324.22,551.766,0.0,2324.22,198.902,366.052,564.954,0.6931471805599453%,43.0%,0%,0.0%,100.0%,0.6931471805599453%,48.0%,0%,0.0%,100.0%,zeros,local-global,22.564102564102562,0.1,1.4851485148514851,0.002,3,-0.14880705987387388
