,time_elapsed,simulationTypeNumber,seed,learning_rate,n_pattern,n_pattern_features,max_epochs,energy_exponent,preset_simulation,Learning was complete at epoch #,Theoretical: random-walk efficiency,Simulated: efficiency (m_perc/m_min),Simulated-Theoretical efficiency difference,Theoretical: minimum energy for learning,Simulated: energy actually used by learning,Energy expended by simulations for consolidations,Energy expended by simulations for maintenance,Energy expended total,(seen) NLL,(seen) Accuracy,(seen) Precision,(seen) Sensitivity,(seen) Specificity,(unseen) NLL,(unseen) Accuracy,(unseen) Precision,(unseen) Sensitivity,(unseen) Specificity,weights_initialised_as,cache_algorithm,max_size_of_transient_memory,maintenance_cost_of_transient_memory,Optimal threshold,Decay rate of transient memory
771,0.636143684387207,8,78,0.5,200,200,5000,1,1,20,5013.257,8679.279,3666.022,0.0,8679.279,1308.061,549.947,1858.008,0.6931471805599452%,45.5%,0%,0.0%,100.0%,0.6931471805599452%,54.0%,0%,0.0%,100.0%,zeros,local-global,7.179487179487179,0.1,1.0569233833221128,0.002
772,0.6221399307250977,8,79,0.5,200,200,5000,1,1,20,5013.257,9188.304,4175.047,0.0,9188.304,1430.293,518.882,1949.175,0.6931471805599452%,46.0%,0%,0.0%,100.0%,0.6931471805599452%,51.0%,0%,0.0%,100.0%,zeros,local-global,7.179487179487179,0.1,1.0569233833221128,0.002
774,0.4941112995147705,8,81,0.5,200,200,5000,1,1,15,5013.257,7541.439,2528.182,0.0,7541.439,1176.824,364.072,1540.896,0.6931471805599452%,46.0%,0%,0.0%,100.0%,0.6931471805599452%,43.0%,0%,0.0%,100.0%,zeros,local-global,7.179487179487179,0.1,1.0569233833221128,0.002
770,0.7691733837127686,8,77,0.5,200,200,5000,1,1,24,5013.257,11566.548,6553.291,0.0,11566.548,1742.711,639.204,2381.915,0.6931471805599452%,44.5%,0%,0.0%,100.0%,0.6931471805599452%,56.5%,0%,0.0%,100.0%,zeros,local-global,7.179487179487179,0.1,1.0569233833221128,0.002
775,0.6061365604400635,8,82,0.5,200,200,5000,1,1,18,5013.257,8492.401,3479.144,0.0,8492.401,1186.536,439.333,1625.869,0.6931471805599452%,46.0%,0%,0.0%,100.0%,0.6931471805599452%,50.5%,0%,0.0%,100.0%,zeros,local-global,7.179487179487179,0.1,1.0569233833221128,0.002
776,0.6131381988525391,8,83,0.5,200,200,5000,1,1,19,5013.257,9283.234,4269.977,0.0,9283.234,1448.096,462.474,1910.57,0.6931471805599452%,50.0%,0%,0.0%,100.0%,0.6931471805599452%,55.0%,0%,0.0%,100.0%,zeros,local-global,7.179487179487179,0.1,1.0569233833221128,0.002
777,0.4741063117980957,8,84,0.5,200,200,5000,1,1,14,5013.257,7685.41,2672.153,0.0,7685.41,1045.159,366.573,1411.732,0.6931471805599452%,46.5%,0%,0.0%,100.0%,0.6931471805599452%,51.0%,0%,0.0%,100.0%,zeros,local-global,7.179487179487179,0.1,1.0569233833221128,0.002
779,0.49111008644104004,8,86,0.5,200,200,5000,1,1,15,5013.257,7861.399,2848.142,0.0,7861.399,1267.162,419.809,1686.971,0.6931471805599452%,50.0%,0%,0.0%,100.0%,0.6931471805599452%,45.0%,0%,0.0%,100.0%,zeros,local-global,7.179487179487179,0.1,1.0569233833221128,0.002
780,0.48910975456237793,8,87,0.5,200,200,5000,1,1,15,5013.257,8159.107,3145.85,0.0,8159.107,1279.084,390.531,1669.615,0.6931471805599452%,47.5%,0%,0.0%,100.0%,0.6931471805599452%,47.0%,0%,0.0%,100.0%,zeros,local-global,7.179487179487179,0.1,1.0569233833221128,0.002
778,0.6791534423828125,8,85,0.5,200,200,5000,1,1,21,5013.257,10140.158,5126.901,0.0,10140.158,1595.805,541.419,2137.224,0.6931471805599452%,49.0%,0%,0.0%,100.0%,0.6931471805599452%,56.0%,0%,0.0%,100.0%,zeros,local-global,7.179487179487179,0.1,1.0569233833221128,0.002
781,0.5521242618560791,8,88,0.5,200,200,5000,1,1,17,5013.257,8579.003,3565.746,0.0,8579.003,1412.542,417.358,1829.9,0.6931471805599452%,53.5%,0%,0.0%,100.0%,0.6931471805599452%,54.5%,0%,0.0%,100.0%,zeros,local-global,7.179487179487179,0.1,1.0569233833221128,0.002
782,0.6531462669372559,8,89,0.5,200,200,5000,1,1,19,5013.257,10231.113,5217.856,0.0,10231.113,1665.957,519.371,2185.328,0.6931471805599452%,48.5%,0%,0.0%,100.0%,0.6931471805599452%,50.0%,0%,0.0%,100.0%,zeros,local-global,7.179487179487179,0.1,1.0569233833221128,0.002
784,0.6161403656005859,8,91,0.5,200,200,5000,1,1,17,5013.257,6776.895,1763.638,0.0,6776.895,1042.509,388.987,1431.496,0.6931471805599452%,42.0%,0%,0.0%,100.0%,0.6931471805599452%,52.5%,0%,0.0%,100.0%,zeros,local-global,7.179487179487179,0.1,1.0569233833221128,0.002
783,0.6881551742553711,8,90,0.5,200,200,5000,1,1,19,5013.257,8772.806,3759.549,0.0,8772.806,1392.46,447.067,1839.527,0.6931471805599452%,48.0%,0%,0.0%,100.0%,0.6931471805599452%,45.0%,0%,0.0%,100.0%,zeros,local-global,7.179487179487179,0.1,1.0569233833221128,0.002
785,0.6571464538574219,8,92,0.5,200,200,5000,1,1,19,5013.257,9966.698,4953.441,0.0,9966.698,1704.952,519.895,2224.847,0.6931471805599452%,45.5%,0%,0.0%,100.0%,0.6931471805599452%,48.5%,0%,0.0%,100.0%,zeros,local-global,7.179487179487179,0.1,1.0569233833221128,0.002
786,0.6411442756652832,8,93,0.5,200,200,5000,1,1,16,5013.257,7666.493,2653.236,0.0,7666.493,1242.822,386.93,1629.752,0.6931471805599452%,49.0%,0%,0.0%,100.0%,0.6931471805599452%,51.0%,0%,0.0%,100.0%,zeros,local-global,7.179487179487179,0.1,1.0569233833221128,0.002
793,0.4160935878753662,9,1,0.5,200,200,5000,1,1,11,5013.257,7073.015,2059.758,0.0,7073.015,1198.057,303.054,1501.111,0.6931471805599452%,49.0%,0%,0.0%,100.0%,0.6931471805599452%,55.5%,0%,0.0%,100.0%,zeros,local-global,8.205128205128204,0.1,1.0569233833221128,0.002
788,0.7931790351867676,8,95,0.5,200,200,5000,1,1,21,5013.257,8292.336,3279.079,0.0,8292.336,1180.229,551.642,1731.871,0.6931471805599452%,47.0%,0%,0.0%,100.0%,0.6931471805599452%,51.5%,0%,0.0%,100.0%,zeros,local-global,7.179487179487179,0.1,1.0569233833221128,0.002
789,0.7931780815124512,8,96,0.5,200,200,5000,1,1,23,5013.257,10115.673,5102.416,0.0,10115.673,1387.217,602.478,1989.695,0.6931471805599452%,49.5%,0%,0.0%,100.0%,0.6931471805599452%,48.0%,0%,0.0%,100.0%,zeros,local-global,7.179487179487179,0.1,1.0569233833221128,0.002
787,0.8581933975219727,8,94,0.5,200,200,5000,1,1,26,5013.257,11788.014,6774.757,0.0,11788.014,1848.086,694.884,2542.97,0.6931471805599452%,54.5%,0%,0.0%,100.0%,0.6931471805599452%,55.0%,0%,0.0%,100.0%,zeros,local-global,7.179487179487179,0.1,1.0569233833221128,0.002
