,time_elapsed,simulationTypeNumber,seed,learning_rate,n_pattern,n_pattern_features,max_epochs,energy_exponent,preset_simulation,Learning was complete at epoch #,Theoretical: random-walk efficiency,Simulated:  efficiency (m_perc/m_min),Simulated-Theoretical efficiency difference,Theoretical: minimum energy for learning,Simulated: energy actually used by learning,Simulated-Theoretical min difference for learning,Energy expended by simulations for consolidations,Energy expended by simulations for maintenance,Energy expended total,(seen) NLL,(seen) Accuracy,(seen) Precision,(seen) Sensitivity,(seen) Specificity,(unseen) NLL,(unseen) Accuracy,(unseen) Precision,(unseen) Sensitivity,(unseen) Specificity
705,1.929931640625,141,4,0.1,594,1000,10000,1,1,8,18250.27,65.979,-18184.291,1531.3,101033.9,99502.6,4911.0,413719.8,418630.8,0.7779081521646874%,53.535%,53.535%,100.0%,0.0%,0.828413202669738%,48.485%,48.485%,100.0%,0.0%
704,2.169780969619751,141,3,0.1,594,1000,10000,1,1,11,18250.27,44.75,-18205.52,2358.4,105538.4,103180.0,5609.0,549556.85,555165.85,0.8250461993027346%,48.822%,48.822%,100.0%,0.0%,0.828413202669738%,48.485%,48.485%,100.0%,0.0%
703,2.27071213722229,141,2,0.1,594,1000,10000,1,1,11,18250.27,225.566,-18024.704,467.0,105339.2,104872.2,5544.0,544579.95,550123.95,0.7997936740502093%,51.347%,51.347%,100.0%,0.0%,0.8048441791007144%,50.842%,50.842%,100.0%,0.0%
707,2.0572168827056885,142,1,0.1,598,1000,10000,1,1,9,18487.522,67.803,-18419.719,1465.4,99358.6,97893.2,4837.0,471669.0,476506.0,0.8115894467155472%,50.167%,50.167%,100.0%,0.0%,0.8433620219663833%,46.99%,46.99%,100.0%,0.0%
708,2.0167911052703857,142,2,0.1,598,1000,10000,1,1,10,18487.522,341.664,-18145.858,263.1,89891.7,89628.6,5013.0,464600.65,469613.65,0.7848335938727378%,52.843%,52.843%,100.0%,0.0%,0.8634289115984903%,44.983%,44.983%,100.0%,0.0%
710,1.648711919784546,142,4,0.1,598,1000,10000,1,1,6,18487.522,44.413,-18443.109,2107.3,93591.5,91484.2,4506.0,331771.55,336277.55,0.7982115202941424%,51.505%,51.505%,100.0%,0.0%,0.816606169123574%,49.666%,49.666%,100.0%,0.0%
706,2.47135591506958,142,0,0.1,598,1000,10000,1,1,12,18487.522,55.909,-18431.613,1696.1,94827.3,93131.2,5409.0,574394.1,579803.1,0.8182784099262496%,49.498%,49.498%,100.0%,0.0%,0.8132616875182228%,50.0%,50.0%,100.0%,0.0%
714,1.710798740386963,143,3,0.1,602,1000,10000,1,1,7,18726.754,109.606,-18617.148,967.4,106033.0,105065.6,4910.0,377573.05,382483.05,0.8215673353587543%,49.169%,49.169%,100.0%,0.0%,0.8049560396776911%,50.831%,50.831%,100.0%,0.0%
709,2.6004464626312256,142,3,0.1,598,1000,10000,1,1,15,18487.522,222.299,-18265.223,485.5,107926.3,107440.8,6728.0,711379.35,718107.35,0.7681111858459819%,54.515%,54.515%,100.0%,0.0%,0.8266396139396275%,48.662%,48.662%,100.0%,0.0%
712,2.4914019107818604,143,1,0.1,602,1000,10000,1,1,13,18726.754,665.456,-18061.298,166.3,110665.3,110499.0,6326.0,635549.0,641875.0,0.8182450762225417%,49.502%,49.502%,100.0%,0.0%,0.819906205790648%,49.336%,49.336%,100.0%,0.0%
711,2.597022533416748,143,0,0.1,602,1000,10000,1,1,15,18726.754,38.593,-18688.161,2642.9,101997.1,99354.2,6590.0,704174.35,710764.35,0.84150089017603%,47.176%,47.176%,100.0%,0.0%,0.8165839466544353%,49.668%,49.668%,100.0%,0.0%
718,1.733353614807129,144,2,0.1,605,1000,10000,1,1,7,18907.486,1359.554,-17547.932,73.3,99655.3,99582.0,4917.0,366125.35,371042.35,0.8107823486752476%,50.248%,50.248%,100.0%,0.0%,0.7992121007413633%,51.405%,51.405%,100.0%,0.0%
717,1.9526569843292236,144,1,0.1,605,1000,10000,1,1,8,18907.486,112.891,-18794.595,984.3,111118.7,110134.4,5571.0,420253.6,425824.6,0.7975592081793798%,51.57%,51.57%,100.0%,0.0%,0.8074765635512806%,50.579%,50.579%,100.0%,0.0%
716,2.5797085762023926,144,0,0.1,605,1000,10000,1,1,13,18907.486,79.314,-18828.172,1181.4,93701.4,92520.0,5667.0,604627.45,610294.45,0.8355757371049997%,47.769%,47.769%,100.0%,0.0%,0.7760716048735946%,53.719%,53.719%,100.0%,0.0%
719,1.941115379333496,144,3,0.1,605,1000,10000,1,1,9,18907.486,469.501,-18437.985,220.7,103618.9,103398.2,5757.0,458701.65,464458.65,0.8107823486752476%,50.248%,50.248%,100.0%,0.0%,0.8454930924769004%,46.777%,46.777%,100.0%,0.0%
721,1.6641488075256348,145,0,0.1,609,1000,10000,1,1,6,19150.219,122.817,-19027.402,773.6,95011.2,94237.6,4409.0,325988.05,330397.05,0.8140827055806201%,49.918%,49.918%,100.0%,0.0%,0.8288610307037728%,48.44%,48.44%,100.0%,0.0%
713,4.181022882461548,143,2,0.1,602,1000,10000,1,1,28,18726.754,78.28,-18648.474,1395.5,109239.1,107843.6,8965.0,1297526.55,1306491.55,0.8132616875182227%,50.0%,50.0%,100.0%,0.0%,0.7916670031328407%,52.159%,52.159%,100.0%,0.0%
715,3.8325724601745605,143,4,0.1,602,1000,10000,1,1,25,18726.754,75.718,-18651.036,1366.2,103446.0,102079.8,8369.0,1127445.75,1135814.75,0.8149228170863291%,49.834%,49.834%,100.0%,0.0%,0.7551221526345018%,55.814%,55.814%,100.0%,0.0%
722,2.581374168395996,145,1,0.1,609,1000,10000,1,1,14,19150.219,469.486,-18680.733,243.9,114507.7,114263.8,6327.0,687255.35,693582.35,0.8107986333310307%,50.246%,50.246%,100.0%,0.0%,0.8222928862045938%,49.097%,49.097%,100.0%,0.0%
720,3.140651226043701,144,4,0.1,605,1000,10000,1,1,21,18907.486,156.5,-18750.986,670.7,104964.3,104293.6,7443.0,980238.4,987681.4,0.7711129271876442%,54.215%,54.215%,100.0%,0.0%,0.8256583817330988%,48.76%,48.76%,100.0%,0.0%
724,2.1160919666290283,145,3,0.1,609,1000,10000,1,1,9,19150.219,83.799,-19066.42,1175.1,98472.3,97297.2,5235.0,447109.8,452344.8,0.7976623443326728%,51.56%,51.56%,100.0%,0.0%,0.7894521637086991%,52.381%,52.381%,100.0%,0.0%
723,2.5385241508483887,145,2,0.1,609,1000,10000,1,1,14,19150.219,622.285,-18527.934,166.8,103797.2,103630.4,6219.0,683178.7,689397.7,0.8502075003261045%,46.305%,46.305%,100.0%,0.0%,0.8025884527070568%,51.067%,51.067%,100.0%,0.0%
727,1.7720184326171875,146,1,0.1,613,1000,10000,1,1,7,19394.973,307.589,-19087.384,335.3,103134.7,102799.4,4881.0,373734.85,378615.85,0.8206026336846175%,49.266%,49.266%,100.0%,0.0%,0.8254965977955474%,48.777%,48.777%,100.0%,0.0%
726,2.3124091625213623,146,0,0.1,613,1000,10000,1,1,11,19394.973,30.046,-19364.927,3369.9,101250.7,97880.8,5737.0,549842.9,555579.9,0.8352845260174071%,47.798%,47.798%,100.0%,0.0%,0.8238652764252374%,48.94%,48.94%,100.0%,0.0%
728,2.1315975189208984,146,2,0.1,613,1000,10000,1,1,11,19394.973,67.411,-19327.562,1504.5,101419.9,99915.4,5465.0,557402.45,562867.45,0.8369158473877171%,47.635%,47.635%,100.0%,0.0%,0.8157086695736877%,49.755%,49.755%,100.0%,0.0%
731,2.0129692554473877,147,0,0.1,617,1000,10000,1,1,9,19641.765,423.666,-19218.099,287.2,121677.0,121389.8,5987.0,473536.35,479523.35,0.7994853504031498%,51.378%,51.378%,100.0%,0.0%,0.7881401316025016%,52.512%,52.512%,100.0%,0.0%
729,2.2647740840911865,146,3,0.1,613,1000,10000,1,1,11,19394.973,2386.274,-17008.699,47.1,112393.5,112346.4,5744.0,574698.85,580442.85,0.8254965977955474%,48.777%,48.777%,100.0%,0.0%,0.8287592405361672%,48.45%,48.45%,100.0%,0.0%
735,1.7227282524108887,147,4,0.1,617,1000,10000,1,1,7,19641.765,54.035,-19587.73,1802.5,97397.7,95595.2,4737.0,352668.15,357405.15,0.7962438593172504%,51.702%,51.702%,100.0%,0.0%,0.8140720602896976%,49.919%,49.919%,100.0%,0.0%
733,2.416954278945923,147,2,0.1,617,1000,10000,1,1,13,19641.765,98.748,-19543.017,1006.1,99350.1,98344.0,5848.0,602468.3,608316.3,0.7978646048602%,51.54%,51.54%,100.0%,0.0%,0.8254172790903459%,48.784%,48.784%,100.0%,0.0%
734,2.5209062099456787,147,3,0.1,617,1000,10000,1,1,14,19641.765,145.188,-19496.577,827.4,120128.4,119301.0,6508.0,726285.8,732793.8,0.8270380246332958%,48.622%,48.622%,100.0%,0.0%,0.8416247345198435%,47.164%,47.164%,100.0%,0.0%
725,4.802042484283447,145,4,0.1,609,1000,10000,1,1,32,19150.219,76.598,-19073.621,1688.0,129296.6,127608.6,10347.0,1624752.85,1635099.85,0.7943782720830832%,51.888%,51.888%,100.0%,0.0%,0.7861680914591095%,52.709%,52.709%,100.0%,0.0%
730,3.942107915878296,146,4,0.1,613,1000,10000,1,1,24,19394.973,72.914,-19322.059,1267.7,92432.9,91165.2,7441.0,1068120.35,1075561.35,0.804289419981518%,50.897%,50.897%,100.0%,0.0%,0.773294313945629%,53.997%,53.997%,100.0%,0.0%
737,1.8258330821990967,148,1,0.1,621,1000,10000,1,1,7,19890.609,42.318,-19848.291,2142.2,90654.4,88512.2,4427.0,367800.25,372227.25,0.8446626537017976%,46.86%,46.86%,100.0%,0.0%,0.8172874524135528%,49.597%,49.597%,100.0%,0.0%
738,2.099222183227539,148,2,0.1,621,1000,10000,1,1,10,19890.609,73.77,-19816.839,1730.0,127622.4,125892.4,6223.0,527595.6,533818.6,0.8076256166647605%,50.564%,50.564%,100.0%,0.0%,0.8366111239111373%,47.665%,47.665%,100.0%,0.0%
732,3.938627243041992,147,1,0.1,617,1000,10000,1,1,24,19641.765,91.868,-19549.897,1202.9,110507.7,109304.8,8217.0,1109857.7,1118074.7,0.8367624978909943%,47.65%,47.65%,100.0%,0.0%,0.7767949128018533%,53.647%,53.647%,100.0%,0.0%
742,1.788165807723999,149,1,0.1,625,1000,10000,1,1,7,20141.521,53.143,-20088.378,2042.7,108555.1,106512.4,5148.0,383111.7,388259.7,0.8156616875182228%,49.76%,49.76%,100.0%,0.0%,0.7868616875182228%,52.64%,52.64%,100.0%,0.0%
736,4.016165494918823,148,0,0.1,621,1000,10000,1,1,25,19890.609,39.876,-19850.733,2663.1,106195.1,103532.0,8400.0,1144257.4,1152657.4,0.823728676246081%,48.953%,48.953%,100.0%,0.0%,0.822118370287949%,49.114%,49.114%,100.0%,0.0%
